Total Connections,Concurrent Connections,Time taken for tests(s),Failed requests,Time per request(ms),Time per request across all concurrent requests(ms)
1,1,0.005,0,5.180,5.180
2,1,0.001,0,0.561,0.561
2,2,0.001,0,1.059,0.529
4,1,0.002,0,0.482,0.482
4,2,0.002,0,0.785,0.392
4,4,0.002,0,1.625,0.406
8,1,0.003,0,0.433,0.433
8,2,0.002,0,0.603,0.301
8,4,0.003,0,1.271,0.318
8,8,0.003,0,2.856,0.357
16,1,0.007,0,0.408,0.408
16,2,0.004,0,0.517,0.259
16,4,0.004,0,1.075,0.269
16,8,0.005,0,2.317,0.290
16,16,0.005,0,5.365,0.335
32,1,0.013,0,0.394,0.394
32,2,0.008,0,0.487,0.244
32,4,0.008,0,0.971,0.243
32,8,0.008,0,2.047,0.256
32,16,0.009,0,4.497,0.281
32,32,0.010,0,10.355,0.324
64,1,0.025,0,0.390,0.390
64,2,0.015,0,0.465,0.233
64,4,0.015,0,0.918,0.229
64,8,0.015,0,1.906,0.238
64,16,0.016,0,4.013,0.251
64,32,0.018,0,8.775,0.274
64,64,0.020,0,20.333,0.318
128,1,0.049,0,0.387,0.387
128,2,0.029,0,0.454,0.227
128,4,0.029,0,0.897,0.224
128,8,0.029,0,1.837,0.229
128,16,0.030,0,3.781,0.236
128,32,0.032,0,7.928,0.248
128,64,0.035,0,17.473,0.273
128,128,0.041,0,40.599,0.317
256,1,0.099,0,0.386,0.386
256,2,0.058,0,0.453,0.226
256,4,0.057,0,0.892,0.223
256,8,0.058,0,1.796,0.225
256,16,0.058,0,3.658,0.228
256,32,0.060,0,7.509,0.235
256,64,0.064,0,15.866,0.248
256,128,0.070,0,34.762,0.272
256,256,0.081,0,80.510,0.315
512,1,0.197,0,0.385,0.385
512,2,0.116,0,0.452,0.226
512,4,0.113,0,0.885,0.221
512,8,0.114,0,1.782,0.223
512,16,0.115,0,3.592,0.225
512,32,0.116,0,7.272,0.227
512,64,0.120,0,14.982,0.234
512,128,0.127,0,31.637,0.247
512,256,0.139,0,69.509,0.271
512,512,0.161,0,161.051,0.314
1024,1,0.393,0,0.384,0.384
1024,2,0.230,0,0.449,0.225
1024,4,0.225,0,0.880,0.220
1024,8,0.227,0,1.772,0.222
1024,16,0.227,0,3.549,0.222
1024,32,0.230,0,7.180,0.224
1024,64,0.234,0,14.612,0.228
1024,128,0.242,0,30.315,0.237
1024,256,0.257,0,64.109,0.251
1024,512,0.280,0,140.032,0.273
1024,1024,0.000,0,0.000,0.000
