Total Connections,Concurrent Connections,Time taken for tests(s),Failed requests,Time per request(ms),Time per request across all concurrent requests(ms)
1,1,0.001,0,1.244,1.244
2,1,0.002,0,0.873,0.873
2,2,0.001,0,1.452,0.726
4,1,0.002,0,0.593,0.593
4,2,0.002,0,0.893,0.446
4,4,0.002,0,1.797,0.449
8,1,0.004,0,0.518,0.518
8,2,0.003,0,0.695,0.347
8,4,0.003,0,1.458,0.364
8,8,0.003,0,2.909,0.364
16,1,0.008,0,0.498,0.498
16,2,0.006,0,0.731,0.366
16,4,0.006,0,1.402,0.350
16,8,0.005,0,2.635,0.329
16,16,0.005,0,5.323,0.333
32,1,0.016,0,0.502,0.502
32,2,0.011,0,0.697,0.348
32,4,0.010,0,1.241,0.310
32,8,0.010,0,2.404,0.300
32,16,0.011,0,5.320,0.333
32,32,0.011,0,10.626,0.332
64,1,0.032,0,0.502,0.502
64,2,0.017,0,0.542,0.271
64,4,0.017,0,1.087,0.272
64,8,0.018,0,2.227,0.278
64,16,0.019,0,4.764,0.298
64,32,0.021,0,10.422,0.326
64,64,0.022,0,21.513,0.336
128,1,0.060,0,0.470,0.470
128,2,0.034,0,0.534,0.267
128,4,0.034,0,1.048,0.262
128,8,0.035,0,2.203,0.275
128,16,0.037,0,4.606,0.288
128,32,0.039,0,9.608,0.300
128,64,0.041,0,20.745,0.324
128,128,0.046,0,46.326,0.362
256,1,0.126,0,0.494,0.494
256,2,0.068,0,0.533,0.266
256,4,0.067,0,1.037,0.259
256,8,0.069,0,2.161,0.270
256,16,0.071,0,4.438,0.278
256,32,0.075,0,9.328,0.292
256,64,0.077,0,19.290,0.302
256,128,0.083,0,41.592,0.325
256,256,0.090,0,89.721,0.350
512,1,0.242,0,0.473,0.473
512,2,0.136,0,0.532,0.266
512,4,0.131,0,1.024,0.256
512,8,0.139,0,2.171,0.272
512,16,0.142,0,4.419,0.276
512,32,0.142,0,8.891,0.278
512,64,0.150,0,18.724,0.292
512,128,0.155,0,38.766,0.303
512,256,0.165,0,82.261,0.321
512,512,0.181,0,181.072,0.354
1024,1,0.483,0,0.471,0.471
1024,2,0.270,0,0.528,0.264
1024,4,0.261,0,1.018,0.255
1024,8,0.275,0,2.152,0.269
1024,16,0.283,0,4.417,0.276
1024,32,0.285,0,8.896,0.278
1024,64,0.291,0,18.213,0.284
1024,128,0.299,0,37.395,0.292
1024,256,0.311,0,77.743,0.304
1024,512,0.332,0,166.024,0.324
1024,1024,0.000,0,0.000,0.000
