Total Connections,Concurrent Connections,Time taken for tests(s),Failed requests,Time per request(ms),Time per request across all concurrent requests(ms)
1,1,0.001,0,0.759,0.759
2,1,0.001,0,0.580,0.580
2,2,0.001,0,1.023,0.511
4,1,0.002,0,0.465,0.465
4,2,0.002,0,0.765,0.383
4,4,0.002,0,1.613,0.403
8,1,0.003,0,0.422,0.422
8,2,0.003,0,0.714,0.357
8,4,0.002,0,1.249,0.312
8,8,0.003,0,2.873,0.359
16,1,0.007,0,0.406,0.406
16,2,0.004,0,0.516,0.258
16,4,0.004,0,1.036,0.259
16,8,0.005,0,2.258,0.282
16,16,0.005,0,5.279,0.330
32,1,0.012,0,0.389,0.389
32,2,0.008,0,0.486,0.243
32,4,0.008,0,0.959,0.239
32,8,0.008,0,2.003,0.250
32,16,0.009,0,4.413,0.276
32,32,0.010,0,10.215,0.319
64,1,0.025,0,0.386,0.386
64,2,0.015,0,0.464,0.232
64,4,0.014,0,0.907,0.227
64,8,0.015,0,1.863,0.233
64,16,0.016,0,3.908,0.244
64,32,0.017,0,8.591,0.269
64,64,0.020,0,19.950,0.312
128,1,0.050,0,0.387,0.387
128,2,0.029,0,0.452,0.226
128,4,0.028,0,0.888,0.222
128,8,0.029,0,1.810,0.226
128,16,0.030,0,3.742,0.234
128,32,0.032,0,7.903,0.247
128,64,0.035,0,17.256,0.270
128,128,0.040,0,39.548,0.309
256,1,0.097,0,0.380,0.380
256,2,0.057,0,0.446,0.223
256,4,0.056,0,0.876,0.219
256,8,0.057,0,1.781,0.223
256,16,0.058,0,3.612,0.226
256,32,0.059,0,7.451,0.233
256,64,0.066,0,16.608,0.259
256,128,0.070,0,35.021,0.273
256,256,0.083,0,82.642,0.323
512,1,0.194,0,0.378,0.378
512,2,0.115,0,0.449,0.225
512,4,0.112,0,0.876,0.219
512,8,0.113,0,1.763,0.221
512,16,0.115,0,3.586,0.224
512,32,0.116,0,7.250,0.227
512,64,0.137,0,17.107,0.267
512,128,0.128,0,31.904,0.249
512,256,0.142,0,71.009,0.277
512,512,0.170,0,169.700,0.331
1024,1,0.387,0,0.378,0.378
1024,2,0.228,0,0.446,0.223
1024,4,0.224,0,0.874,0.219
1024,8,0.226,0,1.764,0.221
1024,16,0.227,0,3.549,0.222
1024,32,0.229,0,7.149,0.223
1024,64,0.238,0,14.853,0.232
1024,128,0.238,0,29.786,0.233
1024,256,0.257,0,64.375,0.251
1024,512,0.287,0,143.531,0.281
1024,1024,0.000,0,0.000,0.000
