Total Connections,Concurrent Connections,Time taken for tests(s),Failed requests,Time per request(ms),Time per request across all concurrent requests(ms)
1,1,0.002,0,2.097,2.097
2,1,0.045,0,22.450,22.450
2,2,0.045,0,44.553,22.277
4,1,0.133,0,33.117,33.117
4,2,0.045,0,22.293,11.146
4,4,0.044,0,44.112,11.028
8,1,0.309,0,38.561,38.561
8,2,0.133,0,33.129,16.565
8,4,0.044,0,22.027,5.507
8,8,0.043,0,43.387,5.424
16,1,0.660,0,41.260,41.260
16,2,0.309,0,38.617,19.308
16,4,0.137,0,34.164,8.541
16,8,0.054,0,26.825,3.353
16,16,0.047,0,46.607,2.913
32,1,1.362,0,42.580,42.580
32,2,0.660,0,41.288,20.644
32,4,0.311,0,38.904,9.726
32,8,0.139,0,34.820,4.352
32,16,0.056,0,28.179,1.761
32,32,0.049,0,48.888,1.528
64,1,2.772,0,43.313,43.313
64,2,1.364,0,42.628,21.314
64,4,0.664,0,41.514,10.378
64,8,0.317,0,39.591,4.949
64,16,0.148,0,36.859,2.304
64,32,0.068,0,34.129,1.066
64,64,0.056,0,56.403,0.881
128,1,5.589,0,43.665,43.665
128,2,2.774,0,43.353,21.676
128,4,1.367,0,42.724,10.681
128,8,0.666,0,41.643,5.205
128,16,0.326,0,40.782,2.549
128,32,0.158,0,39.565,1.236
128,64,0.079,0,39.275,0.614
128,128,0.057,0,57.663,0.450
256,1,11.222,0,43.838,43.838
256,2,5.589,0,43.662,21.831
256,4,2.775,0,43.357,10.839
256,8,1.371,0,42.836,5.355
256,16,0.691,0,43.205,2.700
256,32,0.337,0,42.153,1.317
256,64,0.167,0,41.777,0.653
256,128,0.103,0,51.529,0.403
256,256,0.084,0,84.504,0.330
512,1,22.487,0,43.919,43.919
512,2,11.222,0,43.837,21.919
512,4,5.593,0,43.693,10.924
512,8,2.781,0,43.458,5.432
512,16,1.379,0,43.098,2.693
512,32,0.687,0,42.934,1.342
512,64,0.334,0,41.804,0.653
512,128,0.185,0,46.245,0.361
512,256,0.151,0,75.505,0.295
512,512,0.158,0,157.867,0.309
1024,1,45.014,0,43.960,43.960
1024,2,22.485,0,43.916,21.958
1024,4,11.225,0,43.848,10.962
1024,8,5.597,0,43.725,5.466
1024,16,2.802,0,43.783,2.737
1024,32,1.393,0,43.529,1.360
1024,64,0.688,0,43.036,0.672
1024,128,0.362,0,45.299,0.354
1024,256,0.500,0,124.920,0.488
1024,512,0.271,0,135.622,0.265
1024,1024,0.000,0,0.000,0.000
