Total Connections,Concurrent Connections,Time taken for tests(s),Failed requests,Time per request(ms),Time per request across all concurrent requests(ms)
1,1,0.003,0,2.601,2.601
2,1,0.044,0,21.900,21.900
2,2,0.044,0,44.067,22.034
4,1,0.133,0,33.178,33.178
4,2,0.000,0,0.000,0.000
4,4,0.000,0,0.000,0.000
8,1,0.308,0,38.469,38.469
8,2,0.000,0,0.000,0.000
8,4,0.000,0,0.000,0.000
8,8,0.000,0,0.000,0.000
16,1,0.661,0,41.313,41.313
16,2,0.000,0,0.000,0.000
16,4,0.000,0,0.000,0.000
16,8,0.000,0,0.000,0.000
16,16,0.000,0,0.000,0.000
32,1,1.365,0,42.649,42.649
32,2,0.000,0,0.000,0.000
32,4,0.000,0,0.000,0.000
32,8,0.000,0,0.000,0.000
32,16,0.000,0,0.000,0.000
32,32,0.000,0,0.000,0.000
64,1,2.773,0,43.334,43.334
64,2,0.000,0,0.000,0.000
64,4,0.000,0,0.000,0.000
64,8,0.000,0,0.000,0.000
64,16,0.000,0,0.000,0.000
64,32,0.000,0,0.000,0.000
64,64,0.000,0,0.000,0.000
128,1,5.589,0,43.664,43.664
128,2,0.000,0,0.000,0.000
128,4,0.000,0,0.000,0.000
128,8,0.000,0,0.000,0.000
128,16,0.000,0,0.000,0.000
128,32,0.000,0,0.000,0.000
128,64,0.000,0,0.000,0.000
128,128,0.000,0,0.000,0.000
256,1,11.221,0,43.833,43.833
256,2,0.000,0,0.000,0.000
256,4,0.000,0,0.000,0.000
256,8,0.000,0,0.000,0.000
256,16,0.000,0,0.000,0.000
256,32,0.000,0,0.000,0.000
256,64,0.000,0,0.000,0.000
256,128,0.000,0,0.000,0.000
256,256,0.000,0,0.000,0.000
512,1,22.485,0,43.916,43.916
512,2,0.000,0,0.000,0.000
512,4,0.000,0,0.000,0.000
512,8,0.000,0,0.000,0.000
512,16,0.000,0,0.000,0.000
512,32,0.000,0,0.000,0.000
512,64,0.000,0,0.000,0.000
512,128,0.000,0,0.000,0.000
512,256,0.000,0,0.000,0.000
512,512,0.000,0,0.000,0.000
1024,1,45.039,0,43.984,43.984
1024,2,0.000,0,0.000,0.000
1024,4,0.000,0,0.000,0.000
1024,8,0.000,0,0.000,0.000
1024,16,0.000,0,0.000,0.000
1024,32,0.000,0,0.000,0.000
1024,64,0.000,0,0.000,0.000
1024,128,0.000,0,0.000,0.000
1024,256,0.000,0,0.000,0.000
1024,512,0.000,0,0.000,0.000
1024,1024,0.000,0,0.000,0.000
