Total Connections,Concurrent Connections,Time taken for tests(s),Failed requests,Time per request(ms),Time per request across all concurrent requests(ms)
1,1,0.002,0,2.255,2.255
2,1,0.044,0,22.184,22.184
2,2,0.045,0,44.900,22.450
4,1,0.133,0,33.136,33.136
4,2,0.045,0,22.348,11.174
4,4,0.045,0,44.534,11.133
8,1,0.307,0,38.423,38.423
8,2,0.133,0,33.181,16.591
8,4,0.045,0,22.317,5.580
8,8,0.045,0,45.445,5.681
16,1,0.661,0,41.296,41.296
16,2,0.310,0,38.748,19.374
16,4,0.135,0,33.704,8.426
16,8,0.048,0,23.711,2.964
16,16,0.047,0,47.113,2.945
32,1,1.365,0,42.653,42.653
32,2,0.661,0,41.330,20.665
32,4,0.311,0,38.919,9.730
32,8,0.136,0,33.940,4.243
32,16,0.051,0,25.689,1.606
32,32,0.050,0,50.159,1.568
64,1,2.771,0,43.303,43.303
64,2,1.366,0,42.675,21.337
64,4,0.663,0,41.441,10.360
64,8,0.312,0,38.990,4.874
64,16,0.142,0,35.491,2.218
64,32,0.055,0,27.409,0.857
64,64,0.051,0,51.275,0.801
128,1,5.587,0,43.651,43.651
128,2,2.774,0,43.339,21.670
128,4,1.367,0,42.725,10.681
128,8,0.664,0,41.494,5.187
128,16,0.319,0,39.934,2.496
128,32,0.149,0,37.271,1.165
128,64,0.111,0,55.668,0.870
128,128,0.069,0,69.444,0.542
256,1,11.222,0,43.838,43.838
256,2,5.589,0,43.662,21.831
256,4,2.778,0,43.408,10.852
256,8,1.374,0,42.924,5.365
256,16,0.812,0,50.728,3.171
256,32,0.329,0,41.174,1.287
256,64,0.194,0,48.645,0.760
256,128,0.117,0,58.489,0.457
256,256,0.102,0,101.341,0.396
512,1,22.488,0,43.921,43.921
512,2,11.221,0,43.832,21.916
512,4,5.595,0,43.709,10.927
512,8,2.780,0,43.437,5.430
512,16,1.381,0,43.151,2.697
512,32,0.750,0,46.870,1.465
512,64,0.404,0,50.515,0.789
512,128,0.374,0,93.439,0.730
512,256,0.148,0,73.996,0.289
512,512,0.153,0,152.645,0.298
1024,1,45.015,0,43.961,43.961
1024,2,22.488,0,43.922,21.961
1024,4,11.225,0,43.847,10.962
1024,8,5.595,0,43.707,5.464
1024,16,2.783,0,43.484,2.718
1024,32,1.388,0,43.387,1.356
1024,64,1.130,0,70.637,1.104
1024,128,0.459,0,57.446,0.449
1024,256,0.271,0,67.753,0.265
1024,512,1.274,0,637.195,1.245
1024,1024,0.000,0,0.000,0.000
