Total Connections,Concurrent Connections,Time taken for tests(s),Failed requests,Time per request(ms),Time per request across all concurrent requests(ms)
1,1,0.003,0,2.787,2.787
2,1,0.045,0,22.603,22.603
2,2,0.044,0,44.354,22.177
4,1,0.133,0,33.138,33.138
4,2,0.047,0,23.526,11.763
4,4,0.047,0,46.489,11.622
8,1,0.310,0,38.805,38.805
8,2,0.136,0,33.986,16.993
8,4,0.049,0,24.383,6.096
8,8,0.046,0,45.806,5.726
16,1,0.661,0,41.323,41.323
16,2,0.312,0,39.049,19.524
16,4,0.138,0,34.413,8.603
16,8,0.052,0,25.749,3.218
16,16,0.049,0,49.177,3.073
32,1,1.365,0,42.664,42.664
32,2,0.664,0,41.513,20.757
32,4,0.313,0,39.134,9.783
32,8,0.142,0,35.450,4.431
32,16,0.114,0,56.997,3.562
32,32,0.060,0,60.093,1.878
64,1,2.772,0,43.316,43.316
64,2,1.371,0,42.854,21.427
64,4,0.668,0,41.756,10.439
64,8,0.347,0,43.418,5.427
64,16,0.220,0,55.109,3.444
64,32,0.136,0,67.888,2.122
64,64,0.069,0,68.720,1.074
128,1,5.590,0,43.670,43.670
128,2,2.777,0,43.390,21.695
128,4,1.370,0,42.820,10.705
128,8,0.669,0,41.851,5.232
128,16,0.350,0,43.742,2.734
128,32,0.235,0,58.692,1.834
128,64,0.305,0,152.680,2.386
128,128,0.111,0,110.935,0.866
256,1,11.221,0,43.832,43.832
256,2,5.592,0,43.689,21.845
256,4,2.778,0,43.412,10.853
256,8,1.382,0,43.178,5.397
256,16,1.072,0,66.989,4.187
256,32,0.485,0,60.634,1.895
256,64,0.480,0,119.869,1.873
256,128,0.214,0,107.038,0.836
256,256,0.133,0,133.056,0.520
512,1,22.488,0,43.921,43.921
512,2,11.226,0,43.849,21.924
512,4,5.601,0,43.758,10.940
512,8,2.795,0,43.678,5.460
512,16,1.324,0,41.379,2.586
512,32,1.102,0,68.861,2.152
512,64,0.760,0,95.026,1.485
512,128,0.392,0,98.049,0.766
512,256,0.241,0,120.400,0.470
512,512,0.187,0,186.555,0.365
1024,1,45.016,0,43.961,43.961
1024,2,22.488,0,43.921,21.961
1024,4,11.226,0,43.853,10.963
1024,8,5.608,0,43.816,5.477
1024,16,1.152,0,17.993,1.125
1024,32,1.609,0,50.271,1.571
1024,64,2.250,0,140.612,2.197
1024,128,0.952,0,119.069,0.930
1024,256,0.443,0,110.768,0.433
1024,512,0.310,0,154.805,0.303
1024,1024,0.000,0,0.000,0.000
